PB15660@wilsonmoraes@1D8AA8E2-408D-4946-87FF-52849F80DEC5@bezos em 4.05.CRETA.1.82
13/11/2024 13:41:44: Acessou https://jefvirtual.jfpb.jus.br/cretapb/login.wsp
13/11/2024 13:43:51: Logou https://jefvirtual.jfpb.jus.br/cretapb/consulta/processo/pesquisar_geral.wsp?consulta.processo.tp_link=consulta
13/11/2024 13:44:13: Total: 2361
13/11/2024 13:47:04:  0512745-16.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:05:  0507240-10.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:06:  0509300-19.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:06:  0515904-30.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:06:  0500247-14.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:08:  0505887-66.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:08:  0504357-27.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:08:  0512442-65.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:08:  0500466-61.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:08:  0503169-28.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:19:  0512499-83.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:19:  0506239-24.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:19:  0504474-18.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:19:  0508426-34.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:19:  0510281-82.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:19:  0520144-62.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:19:  0511840-45.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:20:  0506654-41.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:20:  0504879-83.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:20:  0510297-36.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:31:  0513635-18.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:31:  0507993-64.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:31:  0510314-72.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:32:  0509978-34.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:32:  0514366-82.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:33:  0515815-75.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:33:  0511321-02.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:33:  0509746-56.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:33:  0508433-60.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:33:  0502008-17.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:45:  0506249-68.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:46:  0502832-61.2021.4.05.8204 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:46:  0501637-87.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:46:  0511891-90.2018.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:46:  0502665-90.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:47:  0506544-08.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:47:  0510936-54.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:48:  0502857-52.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:48:  0514696-11.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:48:  0508893-47.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:59:  0507319-86.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:59:  0504633-58.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:59:  0516026-43.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:47:59:  0515614-15.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:00:  0508469-05.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:00:  0513875-75.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:00:  0516053-94.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:00:  0500209-02.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:00:  0511719-46.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:01:  0515441-88.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:12:  0506294-72.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:13:  0505716-12.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:13:  0505251-03.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:13:  0514530-47.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:13:  0513115-29.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:13:  0509071-93.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:14:  0507225-41.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:14:  0500136-64.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:14:  0503054-12.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:14:  0500586-70.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:25:  0500273-12.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:25:  0515780-47.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:25:  0514790-56.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:25:  0511265-66.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:25:  0500112-02.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:26:  0508502-92.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:26:  0500757-61.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:26:  0514483-39.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:26:  0516747-92.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:26:  0500801-80.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:37:  0511714-24.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:37:  0520136-85.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:38:  0500152-81.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:38:  0510067-62.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:38:  0516186-39.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:38:  0502470-08.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:38:  0507603-94.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:38:  0514992-04.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:38:  0513905-13.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:38:  0500519-08.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:49:  0507239-88.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:49:  0519295-95.2018.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:49:  0511821-73.2018.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:49:  0508880-14.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:49:  0517460-67.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:49:  0504973-31.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:49:  0513694-11.2018.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:50:  0507844-05.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:50:  0500308-69.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:48:50:  0510615-87.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:01:  0501476-09.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:02:  0500431-67.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:02:  0515437-22.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:03:  0508761-58.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:04:  0501958-88.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:04:  0506548-45.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:04:  0500250-66.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:05:  0511992-25.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:05:  0510582-29.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:05:  0515289-11.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:17:  0508881-67.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:18:  0510589-89.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:19:  0515359-28.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:20:  0507566-33.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:21:  0516348-63.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:21:  0500155-36.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:21:  0510506-73.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:21:  0515350-95.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:21:  0510212-21.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:21:  0505070-31.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:32:  0507205-50.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:32:  0508879-97.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:32:  0502512-86.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:32:  0500139-82.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:33:  0517309-04.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:33:  0519658-77.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:33:  0500515-68.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:33:  0510407-35.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:33:  0509412-85.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:34:  0518221-98.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:45:  0513642-10.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:45:  0505250-18.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:45:  0501330-02.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:45:  0514957-44.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:45:  0504864-85.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:46:  0506721-69.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:46:  0515989-84.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:46:  0518504-24.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:46:  0512433-06.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:47:  0518528-52.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
